alg,xval,yval,run
BFGS,32,0.47620671488926736,1
BFGS,64,0.38101899630004243,1
BFGS,128,0.19966234056932097,1
BFGS,256,0.1869873857086506,1
BFGS,512,0.18570340785719186,1
BFGS,1024,0.18569717464901447,1
BFGS,2048,0.16485577190470313,1
BFGS,4096,0.16485577190470224,1
BFGS,8192,0.16485577190470224,1
BFGS,10000,0.16485577190470224,1
QNDE,1,0.851932388737952,1
QNDE,2,0.851932388737952,1
QNDE,4,0.5960692337916207,1
QNDE,8,0.5960692337916207,1
QNDE,16,0.5870585904296299,1
QNDE,32,0.5870585904296299,1
QNDE,64,0.49445596755752996,1
QNDE,128,0.3417271598318672,1
QNDE,256,0.28378865605669723,1
QNDE,512,0.20842208420707553,1
QNDE,1024,0.2063336635685643,1
QNDE,2048,0.1861929741179137,1
QNDE,4096,0.17929856068904093,1
QNDE,8192,0.16485577190470124,1
QNDE,10000,0.16485577190470102,1
DE,1,0.7875146452830921,1
DE,2,0.7875146452830921,1
DE,4,0.5083352408285764,1
DE,8,0.5083352408285764,1
DE,16,0.42615653500764183,1
DE,32,0.42615653500764183,1
DE,64,0.42276470558823265,1
DE,128,0.2830541182942894,1
DE,256,0.2830541182942894,1
DE,512,0.2830541182942894,1
DE,1024,0.22293263738074387,1
DE,2048,0.20731894485410152,1
DE,4096,0.20731894485410152,1
DE,8192,0.20731894485410152,1
DE,10000,0.20731894485410152,1
CMA,1,0.766072680279764,2
CMA,2,0.766072680279764,2
CMA,4,0.7533024383378579,2
CMA,8,0.7077295792839027,2
CMA,16,0.6908821804787522,2
CMA,32,0.4696578345566218,2
CMA,64,0.25756875759888453,2
CMA,128,0.20355634720660576,2
CMA,256,0.19196115290007698,2
CMA,512,0.18644099358409771,2
CMA,1024,0.18625088865054606,2
CMA,2048,0.18622881052940077,2
CMA,4096,0.1862288092469777,2
CMA,8192,0.1862288092469777,2
CMA,10000,0.1862288092469777,2
QODE,1,0.8317142796398034,2
QODE,2,0.7906701055779705,2
QODE,4,0.7906701055779705,2
QODE,8,0.5659135115071541,2
QODE,16,0.4324464151491477,2
QODE,32,0.4324464151491477,2
QODE,64,0.4224879268421219,2
QODE,128,0.263709182717764,2
QODE,256,0.25034141651795305,2
QODE,512,0.25034141651795305,2
QODE,1024,0.21702636227794359,2
QODE,2048,0.17546535324425827,2
QODE,4096,0.17393924862500987,2
QODE,8192,0.17313804997108784,2
QODE,10000,0.17203608135264392,2
BFGS,1,0.9726285570106875,2
BFGS,2,0.9726285561101881,2
BFGS,4,0.9726285561101881,2
BFGS,8,0.9726285561101881,2
