alg,xval,yval,run
QNDE,20000,0.016118031378633102,0
DE,1,0.5595960074771704,0
DE,2,0.42765673560493944,0
DE,4,0.42765673560493944,0
DE,8,0.42765673560493944,0
DE,16,0.35839767593507377,0
DE,32,0.3335107078949908,0
DE,64,0.30870412531635616,0
DE,128,0.28638923676692496,0
DE,256,0.1680819251750263,0
DE,512,0.10741117916360399,0
DE,1024,0.09114426880176274,0
DE,2048,0.03978825739859304,0
DE,4096,0.019360547657503835,0
DE,8192,0.014517752956896057,0
DE,16384,0.014478950586404249,0
DE,20000,0.01447894234182634,0
CMA,1,0.9859836351903218,1
CMA,2,0.9436063867271443,1
CMA,4,0.8712109983523693,1
CMA,8,0.821024687294788,1
CMA,16,0.7586701832813723,1
CMA,32,0.7210743800130905,1
CMA,64,0.4935304148705817,1
CMA,128,0.16312152838176408,1
CMA,256,0.059645393087012444,1
CMA,512,0.021194318230135845,1
CMA,1024,0.016658700845952668,1
CMA,2048,0.016244854747304638,1
CMA,4096,0.016232723916503433,1
CMA,8192,0.016232706894941273,1
CMA,16384,0.016232706894941273,1
CMA,20000,0.016232706894941273,1
QODE,1,0.7073486932112065,1
QODE,2,0.6807342805449927,1
QODE,4,0.6807342805449927,1
QODE,8,0.45291948863385467,1
QODE,16,0.35725342120429127,1
QODE,32,0.35725342120429127,1
QODE,64,0.27893561410780743,1
QODE,128,0.12342853144054688,1
QODE,256,0.12342853144054688,1
QODE,512,0.12342853144054688,1
QODE,1024,0.12342853144054688,1
QODE,2048,0.04347786506362161,1
QODE,4096,0.01764933660499768,1
QODE,8192,0.014535581271388542,1
QODE,16384,0.014484770882628561,1
QODE,20000,0.014484770882628561,1
BFGS,1,0.92028784763297,1
BFGS,2,0.92028784763297,1
BFGS,4,0.92028784763297,1
BFGS,8,0.9202878463276417,1
BFGS,16,0.9202878455421694,1
BFGS,32,0.7861889271973312,1
BFGS,64,0.7784494458402973,1
BFGS,128,0.3023693822814887,1
BFGS,256,0.06291917940854697,1
BFGS,512,0.031122888684755656,1
BFGS,1024,0.024034392785243663,1
BFGS,2048,0.023821714504178804,1
BFGS,4096,0.023821409444654384,1
BFGS,8192,0.023821409444654384,1
BFGS,16384,0.023821409444654384,1
BFGS,20000,0.023821409444654384,1
QNDE,1,0.9410524559737624,1
QNDE,2,0.9410524559737624,1
QNDE,4,0.7876463545587019,1
QNDE,8,0.3849472884851304,1
QNDE,16,0.2033446145640564,1
QNDE,32,0.2033446145640564,1
QNDE,64,0.2033446145640564,1
QNDE,128,0.11359957507076213,1
QNDE,256,0.11359957507076213,1
QNDE,512,0.11359957507076213,1
QNDE,1024,0.11359957507076213,1
QNDE,2048,0.02941574864152885,1
QNDE,4096,0.024124800999316798,1
QNDE,8192,0.020238531722976405,1
QNDE,16384,0.018297786153219087,1
QNDE,20000,0.018297786153219087,1
DE,1,0.848981681177477,1
DE,2,0.20520291902090593,1
DE,4,0.20520291902090593,1
DE,8,0.20520291902090593,1
DE,16,0.20520291902090593,1
DE,32,0.20520291902090593,1
DE,64,0.20520291902090593,1
DE,128,0.20520291902090593,1
DE,256,0.13084840798957675,1
DE,512,0.09772834712548373,1
DE,1024,0.06952203223125664,1
DE,2048,0.04649771132290781,1
DE,4096,0.0386842173566474,1
DE,8192,0.03593901840080427,1
DE,16384,0.033817764024409724,1
DE,20000,0.033228855435402105,1
CMA,1,0.8734011256199615,2
CMA,2,0.6188457604101885,2
CMA,4,0.5834283811801959,2
CMA,8,0.5834283811801959,2
CMA,16,0.551135219522819,2
CMA,32,0.4487613715774097,2
CMA,64,0.3255409805036932,2
CMA,128,0.18797034199540508,2
CMA,256,0.10483574694774767,2
CMA,512,0.05234678430346651,2
CMA,1024,0.03581147966931153,2
CMA,2048,0.03552098061721132,2
CMA,4096,0.035446173293980365,2
CMA,8192,0.03544585940899114,2
CMA,16384,0.03544585939045841,2
CMA,20000,0.03544585939013589,2
QODE,1,0.8486246213138354,2
QODE,2,0.8486246213138354,2
QODE,4,0.7375357553624409,2
QODE,8,0.5494673835592776,2
QODE,16,0.38514370921846974,2
QODE,32,0.3653704714998405,2
QODE,64,0.3436826230757366,2
QODE,128,0.28012496386818875,2
QODE,256,0.14772263297716004,2
QODE,512,0.14708222864608345,2
QODE,1024,0.08010172655095371,2
QODE,2048,0.06287653170363605,2
QODE,4096,0.050050772454403814,2
QODE,8192,0.029320874676257325,2
QODE,16384,0.020454272613622315,2
QODE,20000,0.019664202808848175,2
