,generation,auc,final_y,run,problem
1507,7,0.20403515205495668,0.27701887852440316,1,ellipsometry
1508,8,0.20403515205495668,0.27701887852440316,1,ellipsometry
1509,9,0.20403515205495668,0.27701887852440316,1,ellipsometry
1510,10,0.20403515205495668,0.27701887852440316,1,ellipsometry
1511,11,0.20403515205495668,0.27701887852440316,1,ellipsometry
1512,12,0.20403515205495668,0.27701887852440316,1,ellipsometry
1513,13,0.20403515205495668,0.27701887852440316,1,ellipsometry
1514,14,0.20579987606625608,0.27701887852440316,1,ellipsometry
1515,15,0.20579987606625608,0.27701887852440316,1,ellipsometry
1516,16,0.20579987606625608,0.27701887852440316,1,ellipsometry
1517,17,0.20579987606625608,0.27701887852440316,1,ellipsometry
1518,18,0.2191738490004753,0.07165998665611109,1,ellipsometry
1519,19,0.23298968078521223,0.04565180300711649,1,ellipsometry
1520,20,0.23298968078521223,0.04565180300711649,1,ellipsometry
1521,21,0.23298968078521223,0.04565180300711649,1,ellipsometry
1522,22,0.23910224327551863,0.04565180300711649,1,ellipsometry
1523,23,0.23910224327551863,0.04565180300711649,1,ellipsometry
1524,24,0.23910224327551863,0.034563106223196055,1,ellipsometry
1525,25,0.23910224327551863,0.034563106223196055,1,ellipsometry
1526,26,0.23910224327551863,0.034563106223196055,1,ellipsometry
1527,27,0.23910224327551863,0.034563106223196055,1,ellipsometry
1528,28,0.23910224327551863,0.034563106223196055,1,ellipsometry
1529,29,0.23910224327551863,0.034563106223196055,1,ellipsometry
1530,30,0.23910224327551863,0.034563106223196055,1,ellipsometry
1531,31,0.23910224327551863,0.02112189200035761,1,ellipsometry
1532,32,0.31506349032691616,0.0007854490988648274,1,ellipsometry
1533,33,0.31506349032691616,0.0007854490988648274,1,ellipsometry
1534,34,0.3170501637124271,0.000778466711507544,1,ellipsometry
1535,35,0.3426698659892138,0.000328082958768638,1,ellipsometry
1536,36,0.3610151474925202,0.000328082958768638,1,ellipsometry
1537,37,0.3610151474925202,0.000328082958768638,1,ellipsometry
1538,38,0.3610151474925202,0.000328082958768638,1,ellipsometry
1539,39,0.3610151474925202,0.000328082958768638,1,ellipsometry
1540,40,0.3610151474925202,0.000328082958768638,1,ellipsometry
1541,41,0.3610151474925202,0.000328082958768638,1,ellipsometry
1542,42,0.3610151474925202,0.000328082958768638,1,ellipsometry
1543,43,0.3610151474925202,0.000328082958768638,1,ellipsometry
1544,44,0.3610151474925202,0.000328082958768638,1,ellipsometry
1545,45,0.3610151474925202,0.000328082958768638,1,ellipsometry
1546,46,0.3610151474925202,0.000328082958768638,1,ellipsometry
1547,47,0.3610151474925202,0.000328082958768638,1,ellipsometry
1548,48,0.3610151474925202,0.000328082958768638,1,ellipsometry
1549,49,0.3610151474925202,0.000328082958768638,1,ellipsometry
1550,50,0.3610151474925202,0.000328082958768638,1,ellipsometry
1551,51,0.3610151474925202,0.000328082958768638,1,ellipsometry
1552,52,0.3610151474925202,0.000328082958768638,1,ellipsometry
1553,53,0.3610151474925202,0.000328082958768638,1,ellipsometry
1554,54,0.3610151474925202,0.000328082958768638,1,ellipsometry
1555,55,0.3610151474925202,0.000328082958768638,1,ellipsometry
1556,56,0.3610151474925202,0.000328082958768638,1,ellipsometry
1557,57,0.3610151474925202,0.000328082958768638,1,ellipsometry
1558,58,0.3610151474925202,0.000328082958768638,1,ellipsometry
1559,59,0.3610151474925202,0.000328082958768638,1,ellipsometry
1560,60,0.3610151474925202,0.000328082958768638,1,ellipsometry
1561,61,0.3610151474925202,0.000328082958768638,1,ellipsometry
1562,62,0.3610151474925202,0.000328082958768638,1,ellipsometry
1563,63,0.3610151474925202,0.000328082958768638,1,ellipsometry
1564,64,0.3610151474925202,0.000328082958768638,1,ellipsometry
1565,65,0.3610151474925202,0.000328082958768638,1,ellipsometry
1566,66,0.3610151474925202,0.000328082958768638,1,ellipsometry
1567,67,0.3610151474925202,0.000328082958768638,1,ellipsometry
1568,68,0.3610151474925202,0.000328082958768638,1,ellipsometry
